Id,Id2,Id3,Geography,Total Workers,Drove Alone,Carpooled,Walked or Biked,"Public Transportation, Taxi, or Motorcycle",Worked From Home,Work In State of Residence,InCounty,OutCounty,Work Outside State of Residence,Total Commuters,Left Between 12am and 4am,Left Between 5am,Left Between 6am,Left Between 7am,Left Between 8am,Left Between 9am and 12pm,Less Than 10 Minutes,10-19 Minutes,20-29 Minutes,30-44 Minutes,45-59 Minutes,60 Minutes or more,MeanTravel
0500000US55129,55129,id55129,"Washburn County, Wisconsin",6646,5323,551,233,113,419,96.5,66.8,29.7,3.5,6228,6.9,10.4,18.6,28.3,11.9,23.9,25.9,29.8,17.9,15.3,5.3,5.6,21.7
0500000US55099,55099,id55099,"Price County, Wisconsin",6579,5171,652,355,92,309,99.4,85.5,13.9,0.6,6268,8.9,14,18.6,25.9,11,21.7,33.8,29.7,16.9,10.9,3.6,5.1,19
0500000US27001,27001,id27001,"Aitkin County, Minnesota",6374,5067,644,255,76,331,99.3,66,33.2,0.7,6043,4.9,10.3,18.7,29.6,13.4,23,24.9,26.9,16.5,16.6,6.5,8.6,24.8
0500000US55107,55107,id55107,"Rusk County, Wisconsin",6333,4857,671,272,63,475,98.3,78.1,20.2,1.7,5860,10,15.5,19.6,24.4,10.6,19.9,30.4,27.7,14.3,13.9,6,7.8,21.5
0500000US27023,27023,id27023,"Chippewa County, Minnesota",6306,5127,536,233,50,353,98.7,70.5,28.2,1.3,5953,4.1,12.4,22.5,32.3,9.2,19.5,40.2,29.2,14.2,9.5,2.6,4.3,17.9
0500000US55013,55013,id55013,"Burnett County, Wisconsin",6192,4873,626,186,81,433,84.8,65,19.8,15.2,5761,8.4,11.2,17.2,28,12.5,22.9,26.4,24.5,15.7,13,7.6,12.9,27.3
0500000US27071,27071,id27071,"Koochiching County, Minnesota",5810,4334,691,256,186,343,98.8,90.9,7.9,1.2,5469,6.8,11,17.8,27.4,13.3,23.5,48.2,30.2,7.3,6.3,2.6,5.4,16.6
0500000US27159,27159,id27159,"Wadena County, Minnesota",5742,4559,638,183,98,276,98.5,65.1,33.4,1.5,5467,4.8,10.4,20.2,28.1,11.3,25.3,31.4,28.3,14.8,13.4,5.7,6.3,22
0500000US27165,27165,id27165,"Watonwan County, Minnesota",5621,4306,692,292,45,292,99.8,65.9,33.9,0.2,5331,5.8,8.7,22,32.3,10.7,20.7,36.8,23.2,13.1,18.2,5.6,3.2,19.2
0500000US27033,27033,id27033,"Cottonwood County, Minnesota",5399,3898,577,432,119,367,98.9,77.3,21.5,1.1,5030,3.5,9.9,21.6,30.9,13.9,20.2,38.4,31.7,13.3,10.7,2.3,3.7,16.1
0500000US27121,27121,id27121,"Pope County, Minnesota",5320,4144,489,314,90,287,99.2,61.4,37.8,0.8,5035,3.4,13,18.6,36.5,10.8,17.8,28.9,30.9,17.4,15.4,3.8,3.4,18.7
0500000US27063,27063,id27063,"Jackson County, Minnesota",5223,4178,438,172,57,381,93,72,21.1,7,4844,7.5,10.4,16.6,36.9,12.3,16.3,35.6,29.8,18.2,10.2,1.9,4.3,17.8
0500000US27149,27149,id27149,"Stevens County, Minnesota",5050,3490,400,747,116,298,99.1,90,9.1,0.9,4754,2.8,10.7,13.3,29.9,17.5,26,49.1,34.6,7.9,4.9,1.8,1.8,12
0500000US27173,27173,id27173,"Yellow Medicine County, Minnesota",5037,3662,524,302,90,463,97.4,62,35.3,2.6,4574,4.5,12.3,18.7,33.7,12.1,18.6,33.9,27.9,16.2,15,4.3,2.7,17.9
0500000US27151,27151,id27151,"Swift County, Minnesota",4919,3606,398,477,93,344,99.3,76.1,23.3,0.7,4577,4.5,14.7,18.8,33,11.1,18,44.3,21.4,13.4,13.9,4.7,2.3,16.4
0500000US27075,27075,id27075,"Lake County, Minnesota",4741,3636,493,308,52,251,94.4,70.6,23.9,5.6,4489,7.1,12.9,18.7,25.2,12.3,23.8,35.6,23.2,8.5,15.1,10.6,7,21.8
0500000US27133,27133,id27133,"Rock County, Minnesota",4679,3556,388,224,149,356,76,67.6,8.4,24,4322,5.9,7.4,20.8,34.5,10.8,20.5,39.1,24.4,11.3,16.8,5,3.4,18.2
0500000US27089,27089,id27089,"Marshall County, Minnesota",4657,3525,545,182,79,321,88.2,51.5,36.7,11.8,4337,4.2,9.8,22.5,36,12.6,14.9,27.5,18.3,18.3,21.9,7.7,6.2,23.1
0500000US27117,27117,id27117,"Pipestone County, Minnesota",4631,3496,519,186,84,347,88.9,78.5,10.4,11.1,4285,4.6,10.3,19.9,33.2,13.7,18.3,46,22.9,10.2,9.7,6,5.3,17.5
0500000US27101,27101,id27101,"Murray County, Minnesota",4223,3188,354,228,50,397,97.9,68.3,29.6,2.1,3827,2.9,8.8,21.7,35.1,14,17.4,35.5,24.7,14.5,16.9,4.7,3.9,19.7
0500000US55041,55041,id55041,"Forest County, Wisconsin",3596,2783,428,97,54,237,98,76.5,21.4,2,3359,6.6,11.6,26.3,24.8,9.7,20.9,30,31.6,11.8,13.3,6,7.3,21.6
0500000US55091,55091,id55091,"Pepin County, Wisconsin",3588,2702,312,237,36,301,90.2,53.8,36.4,9.8,3287,11.3,12.6,20.7,28.4,9.1,18.1,30.9,16.9,11.6,21.9,11.9,6.9,24.4
0500000US27029,27029,id27029,"Clearwater County, Minnesota",3454,2673,424,72,69,218,96,61.1,34.9,4,3238,3.7,10.1,24,32.9,9.7,19.6,25.5,26.2,14.5,17.4,7.2,9.2,26.1
0500000US27073,27073,id27073,"Lac qui Parle County, Minnesota",3359,2496,276,184,34,366,96.8,71.4,25.4,3.2,2993,4.1,10.8,16.3,33.9,15.4,19.6,37.5,27.4,15,13.3,3.1,3.7,16.9
0500000US27167,27167,id27167,"Wilkin County, Minnesota",3331,2585,307,150,16,276,51.3,41.5,9.8,48.7,3054,3.5,9.2,19.8,32.6,12.8,22.1,34.2,26.4,14.7,15.8,6.3,2.7,18.6
0500000US27107,27107,id27107,"Norman County, Minnesota",3088,2418,238,130,24,278,85.4,62.2,23.2,14.6,2811,2.8,10,19.8,37.5,13.6,16.4,32,25.2,12.2,12.5,8,10.1,22.3
0500000US27081,27081,id27081,"Lincoln County, Minnesota",2946,2115,268,189,30,348,90.9,60.4,30.5,9.1,2599,3.7,8.9,22.1,34.6,12.4,18.4,34.4,22.3,13,22.5,4.3,3.5,20.2
0500000US27051,27051,id27051,"Grant County, Minnesota",2919,2318,195,210,58,140,98.2,57.4,40.8,1.8,2778,3.2,9.2,17.6,36.9,14.6,18.5,29.8,19.4,16.9,23.6,4.4,5.8,22.7
0500000US27031,27031,id27031,"Cook County, Minnesota",2726,1944,275,275,38,188,99.8,94.8,5.1,0.2,2537,2.1,5.9,16.3,35.2,17.5,23,45.6,25.1,10.4,8.9,5.6,4.3,18.5
0500000US55051,55051,id55051,"Iron County, Wisconsin",2468,1974,264,79,30,123,71.5,50.1,21.4,28.5,2344,5.7,11.5,19,32,11.5,20.4,24.1,32.2,16.9,14.5,6.1,6.1,21.4
0500000US27011,27011,id27011,"Big Stone County, Minnesota",2418,1830,208,150,20,215,84.7,67.9,16.9,15.3,2204,5.4,8.6,18.4,34.9,15.8,16.9,41.8,24.4,14.1,11.5,3.8,4.4,17
0500000US27069,27069,id27069,"Kittson County, Minnesota",2129,1473,230,175,28,226,86,72.3,13.7,14,1903,4.5,9.8,22,34.1,13,16.6,37.1,22.7,12.6,14.5,7.1,6,20
0500000US27087,27087,id27087,"Mahnomen County, Minnesota",2121,1595,279,97,64,83,96.7,69.5,27.2,3.3,2038,3,9.8,14.7,39.1,13.6,19.9,31.8,23.9,16.4,16.9,3.2,7.7,22.1
0500000US27125,27125,id27125,"Red Lake County, Minnesota",2048,1640,191,86,14,115,97.4,46.4,51,2.6,1933,3.1,8,23.3,37.6,12.4,15.6,24.3,18.4,26.2,20.9,6.1,4.1,22.3
0500000US27077,27077,id27077,"Lake of the Woods County, Minnesota",1971,1474,347,55,2,91,99.9,72.7,27.2,0.1,1880,15.2,11.3,15.4,29,10.6,18.5,27.9,32.5,15.4,16.4,2,5.8,18.4
0500000US55037,55037,id55037,"Florence County, Wisconsin",1878,1617,90,19,23,130,46.2,38.6,7.7,53.8,1749,8.3,14,22.2,19.5,13.5,22.5,22.7,33.3,23.9,12.4,2,5.5,20.3
0500000US27155,27155,id27155,"Traverse County, Minnesota",1618,1217,113,113,13,162,91.6,77.6,14,8.4,1457,2,6.4,18.1,37.2,18.9,17.4,51.7,18.3,11.3,14.2,2.3,2.3,15
0500000US55078,55078,id55078,"Menominee County, Wisconsin",1405,1033,258,40,44,32,99.2,84.6,14.6,0.8,1373,4.4,9.9,23.5,35.1,4.5,22.6,28.9,33.9,24,4.6,5,3.6,17
